Days of airfrost,Precipitation,Sunshine hours,Humidity (%),Wind Speed,Aircraft total movements,Weather and flight condition category,Runway surface minimal temperature,Runway surface maximal temperature
2,30.0,158.5,57.2,3.2,1374,0,3.7,12.9
0,93.0,141.3,58.7,3.8,1359,1,13.6,21.8
2,43.8,164.7,57.5,3.5,1237,0,4.4,12.5
0,17.0,265.0,57.8,2.1,1269,1,11.2,21.5
0,45.3,217.9,60.1,3.0,1352,1,13.0,22.8
0,119.0,34.1,67.2,4.9,1326,3,5.2,9.0
1,24.0,140.7,56.4,3.0,1205,0,4.1,11.6
5,95.1,66.8,57.0,4.8,1316,0,2.6,7.6
19,31.0,85.3,83.5,4.0,1288,3,-0.5,5.5
2,54.0,144.5,57.6,3.8,1319,0,3.3,12.4
2,34.2,66.7,58.4,3.4,1373,2,4.5,11.1
16,16.1,44.1,76.1,3.4,1269,3,0.0,5.4
4,94.9,99.6,57.5,4.6,1233,0,2.0,9.2
0,28.8,233.7,58.3,2.4,1298,1,13.2,24.2
8,29.2,93.3,66.3,3.4,1298,2,3.5,10.7
0,66.5,138.5,56.2,4.0,1269,0,5.4,12.8
7,21.1,39.7,63.9,3.3,1360,3,2.3,7.8
0,15.4,166.3,59.4,2.2,1229,1,9.0,17.5
1,16.0,120.4,57.5,2.6,1251,0,4.9,12.1
1,102.1,183.6,57.5,4.2,1306,0,7.8,15.6
0,46.9,150.1,64.5,3.3,1435,2,8.5,17.8
0,75.3,128.4,60.5,3.8,1242,2,10.5,18.5
0,49.2,160.5,63.8,3.5,1344,2,7.9,15.6
4,8.2,81.7,63.1,2.0,1293,2,6.2,12.6
8,42.6,72.0,79.8,4.0,1386,3,1.2,7.7
1,92.3,94.3,65.7,4.4,1331,3,5.3,11.7
0,84.6,131.9,57.9,4.0,1255,0,7.2,16.5
0,54.9,172.5,58.8,3.3,1225,1,11.5,20.6
0,151.0,66.1,66.5,4.8,1339,2,7.0,12.4
0,71.8,161.6,58.7,3.6,1296,1,13.2,21.3
1,30.0,153.0,56.7,3.0,1328,0,6.2,14.6
7,51.4,47.8,81.0,4.2,1261,3,2.5,7.6
9,46.1,18.5,81.4,4.3,1381,3,1.4,6.1
0,64.4,147.5,58.6,3.4,1221,1,13.5,21.3
0,6.9,273.2,60.2,1.1,1271,1,13.2,24.7
3,29.5,102.7,57.9,3.3,1263,0,3.9,10.8
0,64.7,163.7,57.0,3.6,1376,0,8.2,16.4
0,19.3,209.2,56.8,2.4,1279,0,8.9,19.3
0,33.9,65.0,56.6,3.5,1403,0,4.5,10.2
10,63.4,62.0,99.1,4.3,1303,3,1.6,8.8
0,52.8,174.7,58.4,3.2,1294,1,12.8,21.0
11,17.8,93.3,74.6,3.2,1328,3,1.4,7.3
0,12.1,310.1,57.5,1.8,1252,0,10.0,21.0
0,27.2,151.4,61.9,2.6,1288,1,12.7,22.3
0,3.6,224.6,56.6,0.4,1322,0,7.7,18.9
3,76.4,21.0,73.8,4.2,1302,3,5.9,10.9
23,54.8,76.2,70.6,4.6,1272,3,-1.1,5.7
0,46.1,197.8,57.2,3.2,1365,0,9.8,19.6
0,40.4,236.0,59.9,2.9,1339,1,12.6,22.1
8,41.7,33.6,61.4,3.8,1322,2,3.2,9.1
0,58.6,174.9,61.2,3.3,1244,1,13.5,22.0
12,34.1,105.2,56.8,3.6,1373,0,1.3,9.4
0,41.8,163.3,57.6,3.2,1369,0,7.7,16.4
7,77.2,75.3,72.4,4.5,1293,3,2.4,8.7
0,54.0,174.9,57.7,3.2,1255,1,12.6,22.5
0,17.3,112.7,61.9,2.4,1294,2,8.5,15.6
3,33.3,157.5,56.9,3.2,1272,0,5.3,14.0
0,36.4,182.6,60.3,2.8,1329,1,14.3,23.5
